route,num_operators,total_flights_season,avg_weekly_frequency,hhi,top_operator,top_operator_share_pct,market_structure
DELHI-KHAJURAHO,1,102.0,3.4,10000.0,IndiGo,100.0,Monopoly
DELHI-KANPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DELHI-KANNUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DELHI-JORHAT,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
DELHI-JHARSUGUDA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DELHI-JABALPUR,1,836.0,27.9,10000.0,IndiGo,100.0,Monopoly
DELHI-RAJAHMUNDRY,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
DELHI-PURNEA,1,356.6,11.9,10000.0,IndiGo,100.0,Monopoly
DELHI-PORT BLAIR,1,418.1,13.9,10000.0,Air India,100.0,Monopoly
DELHI-PITHORAGARH,1,178.3,5.9,10000.0,Alliance Air,100.0,Monopoly
DELHI-PANTNAGAR,1,836.0,27.9,10000.0,IndiGo,100.0,Monopoly
DELHI-NASIK,1,836.0,27.9,10000.0,IndiGo,100.0,Monopoly
DELHI-MADURAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-SHIRDI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-SALEM,1,237.1,7.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-RANCHI,1,834.3,27.8,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-RAJKOT,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-PURNEA,1,356.6,11.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-PRAYAGRAJ,1,175.1,5.8,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-PORT BLAIR,1,231.1,7.7,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-PONDICHERRY,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-NASIK,1,594.9,19.8,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-NANDED,1,178.4,5.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
DEOGHAR-KOLKATA,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
DELHI-TIRUPATI,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
DELHI-TIRUCHIRAPALLY,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
DELHI-SIMLA,1,297.4,9.9,10000.0,Alliance Air,100.0,Monopoly
DELHI-SHIRDI,1,535.7,17.9,10000.0,IndiGo,100.0,Monopoly
DELHI-REWA,1,238.3,7.9,10000.0,Alliance Air,100.0,Monopoly
HYDERABAD-NAGPUR,1,1041.0,34.7,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-MYSORE,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-MANGALORE,1,1186.3,39.5,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-MADURAI,1,836.0,27.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-LUCKNOW,1,819.9,27.3,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-KOZHIKODE,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-KOLHAPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-KOCHI,1,2088.3,69.6,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-KANPUR,1,235.4,7.8,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-KANNUR,1,236.4,7.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-JODHPUR,1,294.1,9.8,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-JAMMU,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-JALGAON,1,418.0,13.9,10000.0,JustUdo Aviation (IndiaOne Air),100.0,Monopoly
GAYA-KOLKATA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DURGAPUR-NAVI MUMBAI,1,148.6,5.0,10000.0,IndiGo,100.0,Monopoly
DURGAPUR-MUMBAI,1,118.9,4.0,10000.0,IndiGo,100.0,Monopoly
DURGAPUR-HYDERABAD,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
DIU-SURAT,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DIU-NAVI MUMBAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DIU-MUMBAI,1,358.3,11.9,10000.0,Alliance Air,100.0,Monopoly
DIU-MOPA,1,118.0,3.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
DIU-KESHOD,1,119.4,4.0,10000.0,Alliance Air,100.0,Monopoly
DIMAPUR-KOLKATA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
DIMAPUR-IMPHAL,1,119.4,4.0,10000.0,Alliance Air,100.0,Monopoly
DIBRUGARH-KOLKATA,1,834.1,27.8,10000.0,IndiGo,100.0,Monopoly
DHARAMSALA-SIMLA,1,298.6,10.0,10000.0,Alliance Air,100.0,Monopoly
DEOGHAR-MUMBAI,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
GORAKHPUR-HYDERABAD,1,476.9,15.9,10000.0,IndiGo,100.0,Monopoly
GONDIA-INDORE,1,413.6,13.8,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
GONDIA-HYDERABAD,1,64.0,2.1,10000.0,IndiGo,100.0,Monopoly
GOA-SURAT,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
GOA-SHOLAPUR,1,416.3,13.9,10000.0,JustUdo Aviation (IndiaOne Air),100.0,Monopoly
GOA-RAIPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
GOA-NAVI MUMBAI,1,1251.1,41.7,10000.0,IndiGo,100.0,Monopoly
GOA-NASIK,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
GOA-LUCKNOW,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
GOA-KOLKATA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
GOA-KOCHI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
GOA-JAIPUR,1,209.0,7.0,10000.0,Air India Express,100.0,Monopoly
GOA-INDORE,1,476.0,15.9,10000.0,IndiGo,100.0,Monopoly
GOA-HYDERABAD,1,1669.4,55.6,10000.0,IndiGo,100.0,Monopoly
GUWAHATI-ZIRO,1,179.1,6.0,10000.0,Alliance Air,100.0,Monopoly
GUWAHATI-TEZU,1,179.1,6.0,10000.0,Alliance Air,100.0,Monopoly
GUWAHATI-SILCHAR,1,770.0,25.7,10000.0,IndiGo,100.0,Monopoly
GUWAHATI-RUPSI,1,238.9,8.0,10000.0,Alliance Air,100.0,Monopoly
GUWAHATI-PUNE,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
GUWAHATI-PASIGHAT,1,238.9,8.0,10000.0,Alliance Air,100.0,Monopoly
GUWAHATI-LUCKNOW,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
GUWAHATI-ITANAGAR,1,298.6,10.0,10000.0,Alliance Air,100.0,Monopoly
GORAKHPUR-NAVI MUMBAI,1,343.3,11.4,10000.0,IndiGo,100.0,Monopoly
GORAKHPUR-KOLKATA,1,403.3,13.4,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-JABALPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
HYDERABAD-INDORE,1,836.0,27.9,10000.0,IndiGo,100.0,Monopoly
HUBLI-PUNE,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
HUBLI-NAVI MUMBAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
HISSAR-JAMMU,1,179.1,6.0,10000.0,Alliance Air,100.0,Monopoly
HISSAR-JAIPUR,1,119.4,4.0,10000.0,Alliance Air,100.0,Monopoly
HINDON-VARANASI,1,356.6,11.9,10000.0,IndiGo,100.0,Monopoly
HINDON-NAVI MUMBAI,1,416.3,13.9,10000.0,IndiGo,100.0,Monopoly
HINDON-NANDED,1,416.3,13.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
HINDON-KOLKATA,1,356.6,11.9,10000.0,IndiGo,100.0,Monopoly
HINDON-KISHANGARH,1,238.3,7.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
HINDON-JALANDHAR,1,414.6,13.8,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
GWALIOR-MUMBAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
AGARTALA-BAGDOGRA,1,351.1,11.7,10000.0,Air India Express,100.0,Monopoly
TIRUPATI-VIJAYAWADA,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
SHOLAPUR-TIRUPATI,1,418.0,13.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
SHIVAMOGGA-TIRUPATI,1,418.0,13.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
RAJAHMUNDRY-TIRUPATI,1,179.1,6.0,10000.0,Alliance Air,100.0,Monopoly
PUNE-VADODARA,1,177.3,5.9,10000.0,IndiGo,100.0,Monopoly
PUNE-SURAT,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
PUNE-SINDHUDURG,1,416.3,13.9,10000.0,JustUdo Aviation (IndiaOne Air),100.0,Monopoly
PUNE-SHOLAPUR,1,149.3,5.0,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
PUNE-RANCHI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
PUNE-RAJKOT,1,236.6,7.9,10000.0,IndiGo,100.0,Monopoly
PUNE-RAIPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
PATNA-RANCHI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
PATNA-PUNE,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-AYODHYA,1,358.3,11.9,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-AMRITSAR,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
AGRA-NAVI MUMBAI,1,176.6,5.9,10000.0,IndiGo,100.0,Monopoly
AGRA-HYDERABAD,1,234.6,7.8,10000.0,IndiGo,100.0,Monopoly
AGRA-BENGALURU,1,417.0,13.9,10000.0,IndiGo,100.0,Monopoly
AGATTI ISLAND-MOPA,1,415.4,13.8,10000.0,JustUdo Aviation (IndiaOne Air),100.0,Monopoly
AGATTI ISLAND-BENGALURU,1,112.0,3.7,10000.0,IndiGo,100.0,Monopoly
AGARTALA-SILCHAR,1,117.7,3.9,10000.0,IndiGo,100.0,Monopoly
AGARTALA-IMPHAL,1,176.6,5.9,10000.0,IndiGo,100.0,Monopoly
AGARTALA-HYDERABAD,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
AGARTALA-DIBRUGARH,1,146.1,4.9,10000.0,IndiGo,100.0,Monopoly
AGARTALA-DELHI,1,595.4,19.8,10000.0,IndiGo,100.0,Monopoly
AGARTALA-BENGALURU,1,411.4,13.7,10000.0,IndiGo,100.0,Monopoly
BENGALURU-MADURAI,2,1857.1,61.9,9998.0,IndiGo,99.99,Highly Concentrated
HYDERABAD-JAIPUR,2,1335.0,44.5,9996.0,IndiGo,99.98,Highly Concentrated
AHMEDABAD-HYDERABAD,2,1998.9,66.6,9665.8,IndiGo,98.3,Highly Concentrated
PORT BLAIR-VISAKHAPATNAM,2,14.9,0.5,9623.4,Air India Express,98.08,Highly Concentrated
BENGALURU-HUBLI,2,848.4,28.3,9585.0,IndiGo,97.88,Highly Concentrated
DELHI-DHARAMSALA,2,683.6,22.8,9188.0,IndiGo,95.76,Highly Concentrated
HYDERABAD-RAIPUR,2,2204.3,73.5,8990.8,IndiGo,94.67,Highly Concentrated
AMRITSAR-BENGALURU,2,441.6,14.7,8919.7,IndiGo,94.27,Highly Concentrated
BENGALURU-GWALIOR,2,446.1,14.9,8784.5,Air India Express,93.5,Highly Concentrated
CHENNAI-MADURAI,2,3759.1,125.3,8023.3,IndiGo,88.88,Highly Concentrated
CHENNAI-KOZHIKODE,2,476.4,15.9,7817.0,IndiGo,87.53,Highly Concentrated
DELHI-PRAYAGRAJ,2,415.4,13.8,7567.6,IndiGo,85.83,Highly Concentrated
CHENNAI-KOCHI,2,2475.9,82.5,7193.9,IndiGo,83.12,Highly Concentrated
DELHI-VIJAYAWADA,2,1013.4,33.8,7111.2,Air India,82.49,Highly Concentrated
AHMEDABAD-MOPA,2,510.7,17.0,6946.9,IndiGo,81.2,Highly Concentrated
CHENNAI-PUNE,3,3007.3,100.2,6811.6,IndiGo,81.21,Highly Concentrated
JAMNAGAR-MUMBAI,2,1045.0,34.8,6800.0,Air India,80.0,Highly Concentrated
GUWAHATI-HYDERABAD,2,1043.1,34.8,6795.2,IndiGo,79.96,Highly Concentrated
BENGALURU-VIJAYAWADA,2,2065.3,68.8,6788.0,IndiGo,79.9,Highly Concentrated
HYDERABAD-TIRUPATI,3,3660.1,122.0,6575.5,IndiGo,79.8,Highly Concentrated
AHMEDABAD-DIU,2,535.1,17.8,6562.4,IndiGo,77.95,Highly Concentrated
KOZHIKODE-MUMBAI,2,268.4,8.9,6552.4,IndiGo,77.86,Highly Concentrated
HYDERABAD-VISAKHAPATNAM,2,3760.3,125.3,6542.3,IndiGo,77.77,Highly Concentrated
HYDERABAD-JAGDALPUR,2,536.3,17.9,6537.9,IndiGo,77.73,Highly Concentrated
HYDERABAD-KOLKATA,2,3489.7,116.3,6447.2,IndiGo,76.9,Highly Concentrated
AGARTALA-GUWAHATI,2,624.4,20.8,6376.0,IndiGo,76.23,Highly Concentrated
DELHI-KOCHI,2,3759.4,125.3,6375.0,Air India,76.22,Highly Concentrated
BENGALURU-MANGALORE,2,3603.7,120.1,6372.9,IndiGo,76.2,Highly Concentrated
CHENNAI-HYDERABAD,3,4324.9,144.2,6338.6,IndiGo,77.3,Highly Concentrated
HYDERABAD-PATNA,2,1729.1,57.6,6334.4,IndiGo,75.83,Highly Concentrated
BENGALURU-INDORE,2,1663.1,55.4,6262.0,IndiGo,75.12,Highly Concentrated
DELHI-THIRUVANANTHAPURAM,2,1668.6,55.6,6250.0,Air India,75.0,Highly Concentrated
BENGALURU-RANCHI,2,1662.9,55.4,6248.0,Air India Express,74.98,Highly Concentrated
JAGDALPUR-RAIPUR,2,328.4,10.9,6033.3,Alliance Air,72.73,Highly Concentrated
CHENNAI-NAVI MUMBAI,2,739.9,24.7,5961.8,IndiGo,71.93,Highly Concentrated
AHMEDABAD-CHENNAI,3,1874.9,62.5,5922.0,IndiGo,73.12,Highly Concentrated
AGARTALA-KOLKATA,2,3632.0,121.1,5901.4,IndiGo,71.23,Highly Concentrated
BAGDOGRA-GUWAHATI,2,296.9,9.9,5832.3,SpiceJet,70.4,Highly Concentrated
BHUJ-MUMBAI,2,1100.6,36.7,5830.7,Air India,70.38,Highly Concentrated
DARBHANGA-HYDERABAD,2,595.6,19.9,5814.5,IndiGo,70.18,Highly Concentrated
HYDERABAD-SRINAGAR,2,587.4,19.6,5800.8,IndiGo,70.01,Highly Concentrated
INDORE-PUNE,2,1369.4,45.6,5768.3,IndiGo,69.6,Highly Concentrated
JAMNAGAR-NAVI MUMBAI,2,602.0,20.1,5755.8,Ghodawat Enterprises (Fly91),69.44,Highly Concentrated
DELHI-NAGPUR,2,2717.0,90.6,5739.6,IndiGo,69.23,Highly Concentrated
BENGALURU-TIRUCHIRAPALLY,2,1804.0,60.1,5708.4,IndiGo,68.82,Highly Concentrated
BENGALURU-THIRUVANANTHAPURAM,2,2406.0,80.2,5690.4,IndiGo,68.58,Highly Concentrated
MANGALORE-MUMBAI,2,1307.4,43.6,5650.2,IndiGo,68.03,Highly Concentrated
MUMBAI-NAGPUR,2,2566.3,85.5,5606.9,IndiGo,67.42,Highly Concentrated
DELHI-DIBRUGARH,2,1252.1,41.7,5562.5,IndiGo,66.77,Highly Concentrated
GUWAHATI-MUMBAI,2,1253.0,41.8,5559.1,IndiGo,66.72,Highly Concentrated
INDORE-MUMBAI,3,2829.1,94.3,5556.0,IndiGo,68.4,Highly Concentrated
INDORE-KOLKATA,2,627.0,20.9,5555.8,IndiGo,66.67,Highly Concentrated
HYDERABAD-RAJAHMUNDRY,2,3759.3,125.3,5555.8,IndiGo,66.67,Highly Concentrated
HYDERABAD-SHIVAMOGGA,2,627.0,20.9,5555.8,SpiceJet,66.67,Highly Concentrated
NAVI MUMBAI-VARANASI,2,1254.0,41.8,5555.8,Akasa Air,66.67,Highly Concentrated
AURANGABAD-DELHI,2,1254.0,41.8,5555.8,Air India,66.67,Highly Concentrated
CHENNAI-PORT BLAIR,2,1253.1,41.8,5553.8,IndiGo,66.64,Highly Concentrated
BHOPAL-MUMBAI,2,1253.0,41.8,5553.8,IndiGo,66.64,Highly Concentrated
MUMBAI-VADODARA,2,1252.6,41.8,5553.1,IndiGo,66.63,Highly Concentrated
AMRITSAR-MUMBAI,2,1252.3,41.7,5552.4,Air India,66.62,Highly Concentrated
MUMBAI-THIRUVANANTHAPURAM,2,1247.4,41.6,5548.5,Air India,66.56,Highly Concentrated
CHENNAI-GUWAHATI,2,1253.9,41.8,5543.8,IndiGo,66.49,Highly Concentrated
DEHRADUN-DELHI,2,2921.0,97.4,5536.0,IndiGo,66.37,Highly Concentrated
DIBRUGARH-GUWAHATI,2,1209.6,40.3,5476.8,IndiGo,65.44,Highly Concentrated
KOCHI-NAVI MUMBAI,2,1193.1,39.8,5453.6,IndiGo,65.06,Highly Concentrated
BENGALURU-PORT BLAIR,2,648.1,21.6,5412.4,Air India Express,64.36,Highly Concentrated
BENGALURU-SALEM,2,651.6,21.7,5392.0,Alliance Air,64.0,Highly Concentrated
MUMBAI-VIJAYAWADA,2,654.9,21.8,5375.4,Air India,63.7,Highly Concentrated
AIZAWL-GUWAHATI,2,656.9,21.9,5372.1,IndiGo,63.64,Highly Concentrated
BENGALURU-GOA,3,3751.9,125.1,5370.8,IndiGo,67.78,Highly Concentrated
DELHI-SURAT,2,1991.9,66.4,5335.9,IndiGo,62.96,Highly Concentrated
IMPHAL-KOLKATA,3,1255.4,41.8,5303.8,IndiGo,68.9,Highly Concentrated
BENGALURU-CHANDIGARH,2,2015.9,67.2,5284.2,IndiGo,61.92,Highly Concentrated
BENGALURU-JAIPUR,2,2133.1,71.1,5256.7,IndiGo,61.33,Highly Concentrated
BENGALURU-SURAT,2,1073.7,35.8,5245.1,IndiGo,61.07,Highly Concentrated
BENGALURU-NAGPUR,2,2064.7,68.8,5213.4,IndiGo,60.33,Highly Concentrated
BHUBANESWAR-MUMBAI,2,2089.1,69.6,5199.2,IndiGo,59.98,Highly Concentrated
MUMBAI-RAJKOT,2,2088.0,69.6,5198.4,IndiGo,59.96,Highly Concentrated
GOA-PUNE,2,888.1,29.6,5194.0,JustUdo Aviation (IndiaOne Air),59.85,Highly Concentrated
HYDERABAD-NAVI MUMBAI,2,1008.0,33.6,5181.3,IndiGo,59.52,Highly Concentrated
HUBLI-HYDERABAD,2,1012.3,33.7,5151.7,IndiGo,58.71,Highly Concentrated
KOLKATA-PUNE,3,1845.9,61.5,5151.6,IndiGo,67.7,Highly Concentrated
BENGALURU-KANNUR,2,1000.3,33.3,5146.2,IndiGo,58.55,Highly Concentrated
DELHI-RAIPUR,2,3015.6,100.5,5141.8,IndiGo,58.42,Highly Concentrated
AHMEDABAD-PUNE,2,1994.7,66.5,5133.8,IndiGo,58.18,Highly Concentrated
DELHI-RANCHI,2,2926.0,97.5,5102.0,IndiGo,57.14,Highly Concentrated
BENGALURU-JODHPUR,2,354.9,11.8,5098.0,IndiGo,57.0,Highly Concentrated
BHUJ-DELHI,2,744.0,24.8,5076.4,Air India,56.18,Highly Concentrated
COIMBATORE-MUMBAI,2,1881.1,62.7,5061.6,Air India,55.55,Highly Concentrated
BAGDOGRA-HYDERABAD,2,1403.3,46.8,5056.6,IndiGo,55.32,Highly Concentrated
LUCKNOW-NAVI MUMBAI,2,1429.6,47.7,5037.0,Akasa Air,54.3,Highly Concentrated
JAIPUR-PUNE,2,773.9,25.8,5032.3,IndiGo,54.02,Highly Concentrated
MUMBAI-PRAYAGRAJ,2,774.6,25.8,5031.5,Akasa Air,53.97,Highly Concentrated
LUCKNOW-PUNE,2,773.7,25.8,5030.6,IndiGo,53.91,Highly Concentrated
BAGDOGRA-DIBRUGARH,2,703.7,23.5,5022.2,Air India Express,53.33,Highly Concentrated
HYDERABAD-PUNE,4,3000.1,100.0,5017.3,IndiGo,68.29,Highly Concentrated
CHANDIGARH-MUMBAI,2,2261.9,75.4,5014.4,IndiGo,52.68,Highly Concentrated
MUMBAI-UDAIPUR,2,2268.3,75.6,5014.0,Air India,52.65,Highly Concentrated
GUWAHATI-JAIPUR,2,805.3,26.8,5007.3,IndiGo,51.91,Highly Concentrated
PUNE-VARANASI,2,803.6,26.8,5006.5,IndiGo,51.8,Highly Concentrated
BENGALURU-DEHRADUN,2,865.0,28.8,5005.6,IndiGo,51.68,Highly Concentrated
JODHPUR-MUMBAI,2,694.7,23.2,5004.7,IndiGo,51.53,Highly Concentrated
CHENNAI-DELHI,2,8148.4,271.6,5003.3,IndiGo,51.29,Highly Concentrated
DELHI-VADODARA,2,2447.6,81.6,5003.0,IndiGo,51.23,Highly Concentrated
DELHI-IMPHAL,2,1282.7,42.8,5002.5,IndiGo,51.12,Highly Concentrated
COIMBATORE-DELHI,2,1641.3,54.7,5001.8,IndiGo,50.94,Highly Concentrated
BENGALURU-GORAKHPUR,2,820.3,27.3,5001.4,Akasa Air,50.84,Highly Concentrated
GUWAHATI-KOLKATA,4,3642.9,121.4,5001.2,IndiGo,66.49,Highly Concentrated
DELHI-MANGALORE,2,827.7,27.6,5000.5,IndiGo,50.5,Highly Concentrated
DELHI-JODHPUR,2,723.0,24.1,5000.5,Air India,50.48,Highly Concentrated
KOLKATA-PURNEA,2,826.9,27.6,5000.3,IndiGo,50.38,Highly Concentrated
BHOPAL-DELHI,2,2511.4,83.7,5000.2,IndiGo,50.3,Highly Concentrated
BENGALURU-SRINAGAR,2,766.1,25.5,5000.1,Air India Express,50.27,Highly Concentrated
VIJAYAWADA-VISAKHAPATNAM,2,832.1,27.7,5000.1,IndiGo,50.23,Highly Concentrated
DELHI-UDAIPUR,2,1672.0,55.7,5000.0,Air India,50.0,Highly Concentrated
GORAKHPUR-MUMBAI,2,834.3,27.8,5000.0,IndiGo,50.1,Highly Concentrated
DELHI-RAJKOT,2,1672.0,55.7,5000.0,Air India,50.0,Highly Concentrated
KOLKATA-NAVI MUMBAI,2,836.0,27.9,5000.0,Akasa Air,50.0,Highly Concentrated
KOCHI-PUNE,2,834.3,27.8,5000.0,Air India Express,50.0,Highly Concentrated
MUMBAI-RANCHI,2,836.0,27.9,5000.0,Air India Express,50.0,Highly Concentrated
DIMAPUR-GUWAHATI,2,836.0,27.9,5000.0,Air India Express,50.0,Highly Concentrated
DELHI-VISAKHAPATNAM,2,1667.7,55.6,5000.0,IndiGo,50.13,Highly Concentrated
BENGALURU-VISAKHAPATNAM,2,1653.7,55.1,5000.0,IndiGo,50.12,Highly Concentrated
CHANDIGARH-DELHI,3,3365.1,112.2,4954.0,Air India,60.2,Highly Concentrated
DELHI-JAMMU,3,2909.4,97.0,4866.9,IndiGo,65.11,Highly Concentrated
AMRITSAR-DELHI,3,4443.0,148.1,4816.4,Air India,60.44,Highly Concentrated
CHENNAI-KOLKATA,3,4594.3,153.1,4712.0,IndiGo,63.65,Highly Concentrated
BENGALURU-HYDERABAD,3,7176.6,239.2,4687.5,IndiGo,58.59,Highly Concentrated
BENGALURU-LUCKNOW,3,3301.3,110.0,4655.0,IndiGo,62.11,Highly Concentrated
CHENNAI-MUMBAI,3,7516.0,250.5,4630.5,IndiGo,55.59,Highly Concentrated
BENGALURU-MOPA,3,1863.7,62.1,4606.5,IndiGo,62.23,Highly Concentrated
HYDERABAD-VIJAYAWADA,3,4170.1,139.0,4602.0,IndiGo,60.0,Highly Concentrated
DELHI-JAIPUR,3,2634.9,87.8,4579.6,IndiGo,47.9,Highly Concentrated
HYDERABAD-MUMBAI,3,7931.7,264.4,4575.9,IndiGo,52.66,Highly Concentrated
BENGALURU-KOLKATA,4,6810.4,227.0,4574.7,IndiGo,63.73,Highly Concentrated
KOCHI-MUMBAI,4,4088.7,136.3,4541.0,Air India,59.86,Highly Concentrated
BENGALURU-CHENNAI,3,5708.1,190.3,4540.1,IndiGo,56.13,Highly Concentrated
AHMEDABAD-MUMBAI,5,6201.1,206.7,4525.4,IndiGo,53.87,Highly Concentrated
AHMEDABAD-DELHI,4,7954.0,265.1,4450.8,Air India,48.01,Highly Concentrated
HYDERABAD-MOPA,3,2428.4,80.9,4438.4,IndiGo,56.27,Highly Concentrated
DEHRADUN-MUMBAI,3,1461.6,48.7,4288.6,Air India,57.2,Highly Concentrated
BENGALURU-PATNA,3,2914.7,97.2,4278.3,IndiGo,57.04,Highly Concentrated
DELHI-HYDERABAD,4,11928.1,397.6,4184.5,IndiGo,45.53,Highly Concentrated
LUCKNOW-MUMBAI,4,2862.1,95.4,3978.8,IndiGo,58.27,Highly Concentrated
BENGALURU-KOCHI,5,5126.9,170.9,3960.0,IndiGo,56.48,Highly Concentrated
DELHI-GOA,3,3891.6,129.7,3956.5,IndiGo,53.62,Highly Concentrated
AHMEDABAD-KOLKATA,3,3071.6,102.4,3935.0,SpiceJet,45.69,Highly Concentrated
BENGALURU-NAVI MUMBAI,3,2487.1,82.9,3895.0,Air India Express,50.3,Highly Concentrated
BENGALURU-PUNE,3,6044.1,201.5,3890.0,IndiGo,52.34,Highly Concentrated
KOLKATA-PORT BLAIR,3,1600.4,53.3,3867.9,IndiGo,46.04,Highly Concentrated
DELHI-MUMBAI,5,24481.6,816.1,3828.6,Air India,46.86,Highly Concentrated
JAMMU-SRINAGAR,3,1405.1,46.8,3797.2,IndiGo,50.89,Highly Concentrated
DELHI-INDORE,3,4083.4,136.1,3788.1,IndiGo,43.08,Highly Concentrated
GOA-MUMBAI,3,5161.3,172.0,3778.0,Air India,43.37,Highly Concentrated
BAGDOGRA-KOLKATA,3,3222.3,107.4,3750.5,IndiGo,50.01,Highly Concentrated
BENGALURU-BHUBANESWAR,3,3319.0,110.6,3735.6,IndiGo,49.71,Highly Concentrated
DELHI-LUCKNOW,3,5738.0,191.3,3732.9,IndiGo,49.09,Highly Concentrated
DELHI-KOLKATA,4,10865.3,362.2,3729.0,IndiGo,46.17,Highly Concentrated
MOPA-PUNE,3,1010.9,33.7,3702.8,IndiGo,41.35,Highly Concentrated
DELHI-VARANASI,3,3462.0,115.4,3675.7,IndiGo,48.3,Highly Concentrated
DELHI-NAVI MUMBAI,3,2204.1,73.5,3659.0,IndiGo,43.19,Highly Concentrated
BENGALURU-MUMBAI,5,13273.4,442.4,3655.0,IndiGo,46.82,Highly Concentrated
BENGALURU-KOZHIKODE,3,1788.7,59.6,3635.8,Air India Express,47.04,Highly Concentrated
BENGALURU-GUWAHATI,3,2704.3,90.1,3612.9,Air India Express,46.19,Highly Concentrated
KOLKATA-MUMBAI,4,7209.3,240.3,3559.2,IndiGo,46.36,Highly Concentrated
BENGALURU-DELHI,5,18099.9,603.3,3549.1,Air India,43.65,Highly Concentrated
BAGDOGRA-BENGALURU,3,1742.4,58.1,3532.4,Air India Express,43.84,Highly Concentrated
DARBHANGA-MUMBAI,3,1043.0,34.8,3504.4,Akasa Air,40.08,Highly Concentrated
DELHI-LEH,3,5706.6,190.2,3478.1,IndiGo,43.11,Highly Concentrated
BENGALURU-VARANASI,3,3187.0,106.2,3421.1,IndiGo,39.18,Highly Concentrated
BHUBANESWAR-DELHI,3,4180.1,139.3,3400.0,IndiGo,40.0,Highly Concentrated
