route,num_operators,total_flights_season,avg_weekly_frequency,hhi,top_operator,top_operator_share_pct,market_structure
MUMBAI-RAIPUR,1,836.0,27.9,10000.0,IndiGo,100.0,Monopoly
MUMBAI-PORT BLAIR,1,46.0,1.5,10000.0,IndiGo,100.0,Monopoly
MUMBAI-PORBANDAR,1,116.6,3.9,10000.0,SpiceJet,100.0,Monopoly
MUMBAI-NANDED,1,58.9,2.0,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
BENGALURU-BHOPAL,1,833.3,27.8,10000.0,IndiGo,100.0,Monopoly
BELGAUM-NAVI MUMBAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
BELGAUM-HYDERABAD,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
BELGAUM-DELHI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
BELGAUM-BENGALURU,1,833.1,27.8,10000.0,IndiGo,100.0,Monopoly
BAREILLY-NAVI MUMBAI,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
BAREILLY-BENGALURU,1,176.1,5.9,10000.0,IndiGo,100.0,Monopoly
BAGDOGRA-NAVI MUMBAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
BAGDOGRA-IMPHAL,1,623.0,20.8,10000.0,Air India Express,100.0,Monopoly
BAGDOGRA-CHENNAI,1,358.3,11.9,10000.0,IndiGo,100.0,Monopoly
MOPA-SHIVAMOGGA,1,418.0,13.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
MOPA-NAVI MUMBAI,1,1253.1,41.8,10000.0,IndiGo,100.0,Monopoly
MOPA-NANDED,1,295.6,9.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
MOPA-NAGPUR,1,417.0,13.9,10000.0,IndiGo,100.0,Monopoly
MANGALORE-THIRUVANANTHAPURAM,1,112.3,3.7,10000.0,Air India Express,100.0,Monopoly
MANGALORE-NAVI MUMBAI,1,1133.7,37.8,10000.0,IndiGo,100.0,Monopoly
MADURAI-NAVI MUMBAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
LUCKNOW-RAIPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
LUCKNOW-PATNA,1,417.1,13.9,10000.0,IndiGo,100.0,Monopoly
LEH-SRINAGAR,1,112.9,3.8,10000.0,Air India,100.0,Monopoly
BENGALURU-HINDON,1,416.1,13.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-DURGAPUR,1,417.0,13.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-DEOGHAR,1,417.0,13.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-DARBHANGA,1,410.0,13.7,10000.0,Akasa Air,100.0,Monopoly
