route,operator,flights_in_season,route_total,share_pct
AIZAWL-IMPHAL,Alliance Air,119.42857142857144,119.42857142857144,100.0
AIZAWL-KOLKATA,IndiGo,418.0,418.0,100.0
AIZAWL-SHILLONG,Alliance Air,238.8571428571429,238.8571428571429,100.0
AIZAWL-SILCHAR,IndiGo,29.0,29.0,100.0
AMBIKAPUR-BILASPUR,Alliance Air,59.71428571428572,59.71428571428572,100.0
AMBIKAPUR-DELHI,Alliance Air,29.857142857142858,29.857142857142858,100.0
AMRAVATI-MUMBAI,Alliance Air,298.57142857142856,298.57142857142856,100.0
AMRITSAR-BENGALURU,IndiGo,416.2857142857143,441.57142857142856,94.27
AMRITSAR-BENGALURU,Air India Express,25.285714285714285,441.57142857142856,5.73
AMRITSAR-DELHI,Air India,2685.428571428572,4443.0,60.44
AMRITSAR-DELHI,IndiGo,1492.0,4443.0,33.58
AMRITSAR-DELHI,Air India Express,265.57142857142856,4443.0,5.98
AMRITSAR-KOLKATA,IndiGo,177.42857142857144,177.42857142857144,100.0
AMRITSAR-MUMBAI,Air India,834.2857142857142,1252.2857142857142,66.62
AMRITSAR-MUMBAI,IndiGo,418.0,1252.2857142857142,33.38
AMRITSAR-PUNE,IndiGo,418.0,418.0,100.0
AMRITSAR-SRINAGAR,IndiGo,385.1428571428572,385.1428571428572,100.0
AURANGABAD-BENGALURU,IndiGo,205.42857142857144,205.42857142857144,100.0
AURANGABAD-DELHI,Air India,836.0,1254.0,66.67
AURANGABAD-DELHI,IndiGo,418.0,1254.0,33.33
AURANGABAD-GOA,IndiGo,177.42857142857144,177.42857142857144,100.0
AURANGABAD-HYDERABAD,IndiGo,653.1428571428571,653.1428571428571,100.0
AURANGABAD-MUMBAI,IndiGo,418.0,418.0,100.0
AURANGABAD-NAVI MUMBAI,IndiGo,418.0,418.0,100.0
AYODHYA-BENGALURU,IndiGo,210.2857142857143,210.2857142857143,100.0
AYODHYA-DELHI,Air India Express,418.0,1253.142857142857,33.36
AYODHYA-DELHI,Akasa Air,418.0,1253.142857142857,33.36
AYODHYA-DELHI,IndiGo,417.1428571428571,1253.142857142857,33.29
AYODHYA-HISSAR,Alliance Air,119.42857142857144,119.42857142857144,100.0
AYODHYA-HYDERABAD,IndiGo,233.14285714285717,233.14285714285717,100.0
AYODHYA-NAVI MUMBAI,IndiGo,418.0,418.0,100.0
BAGDOGRA-BENGALURU,Air India Express,763.8571428571429,1742.4285714285716,43.84
