route,max_pax,min_pax,avg_pax,annual_pax,seasonality_index,peak_month
IMPHAL-KOLKATA,66412,48776,57342.333333333336,688108,30.8,March
LUCKNOW-MUMBAI,177801,129288,157408.91666666666,1888907,30.8,December
AHMEDABAD-JAMMU,11995,8837,10302.833333333334,123634,30.7,December
COIMBATORE-DELHI,76724,55889,67791.5,813498,30.7,December
AURANGABAD-DELHI,48379,35941,40549.083333333336,486589,30.7,December
COIMBATORE-HYDERABAD,71689,52760,61962.16666666666,743546,30.5,May
KOCHI-MUMBAI,216402,160975,183036.8333333333,2196442,30.3,December
AHMEDABAD-LUCKNOW,57213,42346,49367.91666666666,592415,30.1,December
PUNE-RANCHI,23738,17735,20030.916666666668,240371,30.0,December
CHENNAI-THIRUVANANTHAPURAM,68795,50997,59374.66666666666,712496,30.0,December
AHMEDABAD-KOCHI,24681,18446,20816.166666666668,249794,30.0,December
BENGALURU-GUWAHATI,145262,107626,125558.66666666669,1506704,30.0,December
DEHRADUN-HYDERABAD,21146,15600,18581.58333333333,222979,29.8,May
GORAKHPUR-HYDERABAD,23790,17290,21862.0,262344,29.7,May
KOLKATA-SILCHAR,53828,40194,46169.91666666666,554039,29.5,October
HYDERABAD-KOLKATA,210213,156710,181706.25,2180475,29.4,October
PATNA-PUNE,25185,18898,21502.5,258030,29.2,March
BENGALURU-VIJAYAWADA,49209,36463,43705.75,524469,29.2,December
MUMBAI-UDAIPUR,106359,79918,91029.75,1092357,29.0,January
BENGALURU-PRAYAGRAJ,18013,13469,15734.25,188811,28.9,March
MUMBAI-PATNA,74801,56270,64080.583333333336,768967,28.9,March
DELHI-MANGALORE,22234,16408,20240.5,242886,28.8,May
BENGALURU-RANCHI,84149,62177,76556.75,918681,28.7,April
GAYA-KOLKATA,18238,13474,16681.916666666668,200183,28.6,November
BENGALURU-TIRUCHIRAPALLY,26376,19933,22622.08333333333,271465,28.5,August
CHENNAI-KOLKATA,167729,124176,153955.75,1847469,28.3,October
BENGALURU-KOLKATA,409285,310956,348800.9166666667,4185611,28.2,December
GWALIOR-MUMBAI,19790,14996,17063.083333333332,204757,28.1,May
DELHI-JAMMU,126388,94836,113015.58333333331,1356187,27.9,April
BENGALURU-KOZHIKODE,33889,25731,29497.33333333333,353968,27.7,September
DELHI-PRAYAGRAJ,27378,20526,24769.916666666668,297239,27.7,May
AHMEDABAD-PUNE,104007,79617,89105.75,1069269,27.4,December
MUMBAI-VARANASI,141467,108397,120555.25,1446663,27.4,December
CHENNAI-KOZHIKODE,17177,13172,14707.666666666666,176492,27.2,May
CHANDIGARH-JAIPUR,24368,18494,21674.25,260091,27.1,May
AMRITSAR-DELHI,218466,167118,189197.25,2270367,27.1,December
HYDERABAD-VISAKHAPATNAM,153312,115480,140016.91666666666,1680203,27.0,August
BENGALURU-SURAT,44211,33331,40431.083333333336,485173,26.9,May
DELHI-VADODARA,96270,73868,83166.66666666667,998000,26.9,May
CHENNAI-KOCHI,115367,88615,99813.41666666669,1197761,26.8,December
JAIPUR-MUMBAI,244788,188434,212070.5,2544846,26.6,January
DELHI-HUBLI,20390,15611,18163.25,217959,26.3,December
INDORE-JABALPUR,9063,6963,7971.916666666667,95663,26.3,March
BENGALURU-HUBLI,17077,12987,15556.166666666666,186674,26.3,December
GOA-KOCHI,18687,14365,16506.666666666668,198080,26.2,December
DELHI-JABALPUR,31389,24290,27055.25,324663,26.2,February
HYDERABAD-INDORE,67055,52193,57037.91666666666,684455,26.1,December
CHENNAI-JODHPUR,10859,8367,9551.0,114612,26.1,November
AMRITSAR-PUNE,20702,15873,18662.25,223947,25.9,May
LUCKNOW-NAGPUR,7723,5904,7033.416666666667,84401,25.9,January
KOCHI-THIRUVANANTHAPURAM,8344,6471,7298.166666666667,87578,25.7,May
BAGDOGRA-CHENNAI,26101,20141,23275.166666666668,279302,25.6,September
GUWAHATI-MUMBAI,78435,61107,67591.91666666667,811103,25.6,December
CHENNAI-VARANASI,22329,17266,19840.666666666668,238088,25.5,July
CHANDIGARH-MUMBAI,131758,100774,121852.25,1462227,25.4,May
KOLKATA-RANCHI,31298,24017,28734.416666666668,344813,25.3,April
CHENNAI-TUTICORIN,31119,24478,26595.33333333333,319144,25.0,May
JORHAT-KOLKATA,20759,16159,18460.666666666668,221528,24.9,December
AHMEDABAD-CHANDIGARH,41146,32168,36211.5,434538,24.8,May
GUWAHATI-KOLKATA,206158,160789,183766.75,2205201,24.7,October
CHENNAI-MADURAI,75375,59091,65909.83333333333,790918,24.7,December
KOLKATA-MUMBAI,365099,287796,316867.4166666667,3802409,24.4,December
GORAKHPUR-KOLKATA,9214,7220,8185.416666666667,98225,24.4,May
IMPHAL-SILCHAR,7335,5739,6565.0,78780,24.3,July
BELGAUM-HYDERABAD,7747,6057,6963.083333333333,83557,24.3,December
CHENNAI-HYDERABAD,266547,208672,237755.25,2853063,24.3,May
CHENNAI-MUMBAI,452848,357607,393686.3333333333,4724236,24.2,January
AHMEDABAD-BENGALURU,172362,134896,155535.66666666666,1866428,24.1,May
BENGALURU-HYDERABAD,434751,344786,378382.9166666667,4540595,23.8,May
AGRA-BENGALURU,11856,9302,10778.416666666666,129341,23.7,December
HYDERABAD-VIJAYAWADA,58436,45889,53053.66666666666,636644,23.6,July
DURGAPUR-HYDERABAD,19594,15439,17594.916666666668,211139,23.6,August
AHMEDABAD-JODHPUR,8339,6608,7337.833333333333,88054,23.6,December
BENGALURU-JODHPUR,23109,18392,20275.58333333333,243307,23.3,August
DELHI-MADURAI,23231,18260,21464.33333333333,257572,23.2,December
DELHI-PATNA,269273,214595,235884.5,2830614,23.2,March
HYDERABAD-MUMBAI,427160,340700,374642.5,4495710,23.1,December
CHENNAI-RANCHI,23608,18897,20584.166666666668,247010,22.9,January
CHENNAI-COIMBATORE,158165,125382,144787.83333333334,1737454,22.6,August
BENGALURU-RAIPUR,44048,34917,40595.91666666666,487151,22.5,December
AHMEDABAD-INDORE,25669,20581,22777.166666666668,273326,22.3,December
DELHI-KOZHIKODE,24112,19519,20715.0,248580,22.2,January
CHENNAI-GUWAHATI,58691,46753,54052.583333333336,648631,22.1,December
BENGALURU-KOCHI,302221,244153,264659.4166666667,3175913,21.9,April
BENGALURU-RAJAHMUNDRY,17020,13762,15280.75,183369,21.3,August
DIMAPUR-KOLKATA,25280,20327,23371.08333333333,280453,21.2,November
DEHRADUN-DELHI,101925,81967,94009.16666666669,1128110,21.2,May
BHUBANESWAR-DELHI,207873,167086,192631.41666666663,2311577,21.2,March
GOA-INDORE,17836,14465,16145.166666666666,193742,20.9,May
KOLKATA-RAIPUR,46957,38113,42530.66666666666,510368,20.8,December
DELHI-INDORE,165016,134954,146419.33333333334,1757032,20.5,December
AHMEDABAD-MUMBAI,404834,332667,355815.3333333333,4269784,20.3,January
HYDERABAD-VADODARA,20903,16990,19277.08333333333,231325,20.3,March
CHANDIGARH-CHENNAI,21906,17970,19492.75,233913,20.2,December
HYDERABAD-JAIPUR,103982,85586,92411.5,1108938,19.9,December
DELHI-IMPHAL,36507,29902,33212.25,398547,19.9,August
BENGALURU-INDORE,62582,51380,56451.66666666666,677420,19.8,December
INDORE-JODHPUR,8253,6810,7307.916666666667,87695,19.7,December
DELHI-DIBRUGARH,43227,35577,39930.41666666666,479165,19.2,May
MUMBAI-RAIPUR,72275,59989,64399.41666666666,772793,19.1,January
HYDERABAD-KANNUR,8305,6877,7549.25,90591,18.9,May
HYDERABAD-MANGALORE,17339,14282,16156.833333333334,193882,18.9,December
COIMBATORE-PUNE,19967,16536,18353.0,220236,18.7,May
CHENNAI-LUCKNOW,18919,15725,17160.333333333332,205924,18.6,March
TIRUPATI-VISAKHAPATNAM,8057,6700,7341.333333333333,88096,18.5,August
CHENNAI-VIJAYAWADA,17506,14567,15920.416666666666,191045,18.5,June
DELHI-VISAKHAPATNAM,89947,75096,82204.58333333333,986455,18.1,May
GUWAHATI-IMPHAL,90629,75961,82354.33333333333,988252,17.8,October
BHOPAL-MUMBAI,60867,50998,55888.0,670656,17.7,December
AGARTALA-KOLKATA,149552,125252,137801.66666666666,1653620,17.6,March
AURANGABAD-HYDERABAD,16754,14069,15241.833333333334,182902,17.6,December
BHUBANESWAR-MUMBAI,112321,94824,102617.25,1231407,17.1,March
HYDERABAD-TIRUPATI,120040,101597,108361.16666666669,1300334,17.0,March
INDORE-MUMBAI,128844,108875,117706.66666666669,1412480,17.0,December
KOLKATA-NAGPUR,23418,19780,21546.5,258558,16.9,December
DELHI-THIRUVANANTHAPURAM,81348,68760,75177.08333333333,902125,16.7,May
BHOPAL-DELHI,107699,91289,99380.91666666669,1192571,16.5,December
BHUBANESWAR-KOLKATA,103134,87340,95754.41666666669,1149053,16.5,April
BENGALURU-TIRUPATI,8055,6800,7593.083333333333,91117,16.5,July
AHMEDABAD-DEHRADUN,19845,16785,18594.33333333333,223132,16.5,December
DELHI-RANCHI,169886,144004,157377.41666666666,1888529,16.4,December
DELHI-KOLKATA,502676,427789,463314.25,5559771,16.2,December
HYDERABAD-RAIPUR,35330,30214,31692.0,380304,16.1,October
JAIPUR-PUNE,48455,41149,45253.75,543045,16.1,May
BENGALURU-BHUBANESWAR,144740,123340,134290.58333333334,1611487,15.9,June
DELHI-HYDERABAD,557624,476213,515487.8333333333,6185854,15.8,December
CHENNAI-TIRUCHIRAPALLY,38646,33003,35988.25,431859,15.7,December
HYDERABAD-KOLHAPUR,7907,6739,7457.75,89493,15.7,October
AGRA-MUMBAI,8856,7595,8108.0,97296,15.6,December
DELHI-RAIPUR,139425,119718,127308.41666666669,1527701,15.5,December
CHENNAI-DELHI,431241,372741,391755.9166666667,4701071,14.9,December
AHMEDABAD-NAGPUR,17896,15443,16557.083333333332,198685,14.8,December
BAGDOGRA-DELHI,195098,169048,179466.75,2153601,14.5,March
BHOPAL-HYDERABAD,8963,7747,8380.5,100566,14.5,December
CHENNAI-RAJAHMUNDRY,8263,7161,7672.25,92067,14.4,December
DELHI-MUMBAI,1163380,1007849,1097917.8333333333,13175014,14.2,May
BENGALURU-PUNE,331802,287654,309922.4166666667,3719069,14.2,January
DELHI-LUCKNOW,269523,234220,249243.75,2990925,14.2,December
DEHRADUN-LUCKNOW,19305,16771,17911.416666666668,214937,14.1,October
LUCKNOW-PATNA,17261,15021,16039.083333333334,192469,14.0,July
DELHI-GAYA,20326,17666,19122.58333333333,229471,13.9,December
HYDERABAD-RAJAHMUNDRY,48073,42100,45851.0,550212,13.0,November
AHMEDABAD-DELHI,432103,383910,407310.3333333333,4887724,11.8,December
BENGALURU-MUMBAI,765661,685115,720498.1666666666,8645978,11.2,May
HUBLI-HYDERABAD,7824,7049,7452.75,89433,10.4,May
DELHI-GUWAHATI,270145,243673,259466.3333333333,3113596,10.2,March
MUMBAI-NAGPUR,125724,113721,119943.16666666669,1439318,10.0,January
DELHI-KOCHI,180093,163612,171161.83333333334,2053942,9.6,May
BENGALURU-DELHI,821050,760018,793915.8333333334,9526990,7.7,December
DELHI-PUNE,498511,465664,477516.0,5730192,6.9,December
