route,max_pax,min_pax,avg_pax,annual_pax,seasonality_index,peak_month
BHUBANESWAR-PATNA,16399,6936,12740.181818181818,140142,74.3,October
MOPA-MUMBAI,82297,39671,57978.5,231914,73.5,May
CHENNAI-GOA,64572,32689,43538.083333333336,522457,73.2,December
PUNE-RAIPUR,14771,7854,9525.333333333334,114304,72.6,December
BHUJ-MUMBAI,15858,6385,13069.916666666666,156839,72.5,May
INDORE-JAMMU,9892,4762,7126.5,85518,72.0,May
KOCHI-PUNE,29747,15447,20070.83333333333,240850,71.2,December
JAIPUR-MOPA,20738,8835,16878.5,67514,70.5,April
HYDERABAD-KOZHIKODE,13344,7176,8756.333333333334,105076,70.4,December
KANDLA-MUMBAI,9994,4603,7654.333333333333,91852,70.4,January
BHAVNAGAR-PUNE,8244,4034,6002.25,72027,70.1,January
KOLHAPUR-TIRUPATI,5748,2798,4243.166666666667,50918,69.5,April
GUWAHATI-SILCHAR,17464,8050,13593.0,163116,69.3,July
KOLKATA-VARANASI,47940,24283,34343.5,412122,68.9,November
BENGALURU-DEHRADUN,31531,14130,25385.166666666668,304622,68.5,May
MUMBAI-PRAYAGRAJ,33933,16233,26018.75,312225,68.0,November
HYDERABAD-VARANASI,73470,34472,57392.5,688710,67.9,October
HYDERABAD-NASIK,8874,3929,7339.5,88074,67.4,November
DARBHANGA-KOLKATA,16539,8279,12267.75,147213,67.3,March
CHANDIGARH-HYDERABAD,45328,20782,36624.75,439497,67.0,May
CHENNAI-DURGAPUR,13863,6829,10564.0,126768,66.6,August
KANNUR-THIRUVANANTHAPURAM,8483,4376,6169.166666666667,74030,66.6,January
CHENNAI-RAIPUR,14947,8219,10137.833333333334,121654,66.4,December
BENGALURU-VARANASI,132741,67012,99343.0,1192116,66.2,November
GOA-KOLKATA,50533,27155,35345.916666666664,424151,66.1,December
BENGALURU-KALABURAGI,8974,4637,6582.083333333333,78985,65.9,January
AHMEDABAD-RAIPUR,15086,8160,10561.5,126738,65.6,October
DELHI-MOPA,42709,19723,35162.5,140650,65.4,March
GORAKHPUR-MUMBAI,42053,22077,30640.5,367686,65.2,December
BHAVNAGAR-MUMBAI,8617,4248,6774.416666666667,81293,64.5,January
DELHI-GWALIOR,23865,11703,19138.0,229656,63.5,June
AMRITSAR-MUMBAI,71667,37750,53440.66666666666,641288,63.5,January
PORT BLAIR-VISAKHAPATNAM,6624,3437,5040.416666666667,60485,63.2,June
DARBHANGA-DELHI,36674,18141,29815.0,357780,62.2,December
HYDERABAD-RANCHI,47251,25500,35036.25,420435,62.1,December
AURANGABAD-BENGALURU,10317,5178,8300.5,99606,61.9,December
DELHI-JODHPUR,64437,35859,46158.91666666666,553907,61.9,December
AMRITSAR-SRINAGAR,27796,13602,22944.08333333333,275329,61.9,December
DELHI-DURGAPUR,28497,16104,20349.33333333333,244192,60.9,October
DELHI-UDAIPUR,134555,75393,97764.33333333331,1173172,60.5,December
KOLHAPUR-MUMBAI,6258,3473,4615.5,55386,60.3,December
JAIPUR-SURAT,25520,14777,17871.666666666668,214460,60.1,December
BAGDOGRA-GUWAHATI,14395,7640,11277.583333333334,135331,59.9,July
JAIPUR-UDAIPUR,16379,9319,11829.166666666666,141950,59.7,December
INDORE-JAIPUR,18819,10982,13195.166666666666,158342,59.4,December
GOA-PUNE,66122,35785,51394.25,616731,59.0,October
NAGPUR-NASIK,6224,3430,4789.916666666667,57479,58.3,April
AHMEDABAD-PATNA,29653,17502,20969.58333333333,251635,57.9,December
HYDERABAD-NAGPUR,20859,12188,15015.916666666666,180191,57.7,December
HYDERABAD-KOCHI,158729,95280,110776.75,1329321,57.3,December
HYDERABAD-LUCKNOW,76164,45085,54724.75,656697,56.8,December
GUWAHATI-LUCKNOW,18528,10269,14529.166666666666,174350,56.8,October
AHMEDABAD-BHUBANESWAR,15991,9145,12086.0,145032,56.6,December
JAIPUR-JODHPUR,7301,3829,6148.5,73782,56.5,December
CHANDIGARH-PUNE,20962,10387,18760.08333333333,225121,56.4,December
AGARTALA-IMPHAL,8578,4776,6753.0,81036,56.3,December
BENGALURU-GWALIOR,14609,7871,12056.75,144681,55.9,March
AHMEDABAD-NASIK,12522,7231,9614.916666666666,115379,55.0,December
GOA-LUCKNOW,29726,17274,22740.25,272883,54.8,January
HYDERABAD-JODHPUR,23156,13391,17925.166666666668,215102,54.5,October
JODHPUR-MUMBAI,66005,39668,48416.0,580992,54.4,January
CHENNAI-KANNUR,11567,6398,9513.416666666666,114161,54.3,August
CHANDIGARH-KOLKATA,20446,12035,15548.583333333334,186583,54.1,December
BENGALURU-RAJKOT,20657,11422,17108.5,205302,54.0,December
GOA-SURAT,28222,16358,22016.83333333333,264202,53.9,January
BENGALURU-THIRUVANANTHAPURAM,155549,95368,114509.5,1374114,52.6,December
BENGALURU-UDAIPUR,33853,19756,26813.83333333333,321766,52.6,December
BHUBANESWAR-VARANASI,8225,4504,7072.25,84867,52.6,March
AHMEDABAD-GOA,112499,67948,86057.16666666667,1032686,51.8,December
JAMMU-SRINAGAR,112474,68343,86023.91666666667,1032287,51.3,March
BAGDOGRA-MUMBAI,64613,39503,49055.5,588666,51.2,June
INDORE-UDAIPUR,5582,3175,4697.666666666667,56372,51.2,December
JAIPUR-LUCKNOW,13304,7695,11031.166666666666,132374,50.8,May
BENGALURU-VISAKHAPATNAM,124889,74846,98870.16666666669,1186442,50.6,May
MADURAI-MUMBAI,42566,26108,32682.166666666668,392186,50.4,March
CHENNAI-SURAT,12816,8003,9608.833333333334,115306,50.1,December
DEHRADUN-MUMBAI,64060,38940,50291.583333333336,603499,49.9,May
AHMEDABAD-RANCHI,16810,10613,12450.583333333334,149407,49.8,December
HYDERABAD-SHIRDI,34644,21091,27311.08333333333,327733,49.6,January
AGARTALA-GUWAHATI,51803,31823,40268.66666666666,483224,49.6,December
CHENNAI-PORT BLAIR,102083,61421,82257.66666666667,987092,49.4,December
AHMEDABAD-BHOPAL,13185,7788,10969.583333333334,131635,49.2,December
CHANDIGARH-PATNA,18884,11592,14829.583333333334,177955,49.2,December
BENGALURU-MANGALORE,131622,82663,99709.91666666669,1196519,49.1,December
DELHI-DIMAPUR,18097,11362,13874.583333333334,166495,48.5,December
HYDERABAD-PATNA,57315,36387,43291.75,519501,48.3,November
TIRUPATI-VIJAYAWADA,5870,3564,4794.25,57531,48.1,January
BENGALURU-NAGPUR,78972,50135,60585.0,727020,47.6,December
AURANGABAD-MUMBAI,49463,30610,39877.0,478524,47.3,January
JAIPUR-KOLKATA,89706,58055,67079.33333333333,804952,47.2,November
BHUBANESWAR-HYDERABAD,84578,54004,65900.66666666667,790808,46.4,December
AGARTALA-BENGALURU,21497,12961,18456.166666666668,221474,46.3,June
CHENNAI-PATNA,20573,12337,17935.333333333332,215224,45.9,November
CHANDIGARH-LUCKNOW,17254,10845,13963.75,167565,45.9,May
BHUBANESWAR-RAIPUR,11521,7221,9402.25,112827,45.7,November
BENGALURU-TUTICORIN,9716,6168,7859.75,94317,45.1,May
AHMEDABAD-VARANASI,28424,18404,22448.33333333333,269380,44.6,March
DELHI-SHIRDI,46949,29699,38760.91666666666,465131,44.5,December
BENGALURU-KOLHAPUR,11445,7554,8749.916666666666,104999,44.5,December
BENGALURU-COIMBATORE,63199,39117,54290.0,651480,44.4,May
CHANDIGARH-SRINAGAR,38592,24285,32261.416666666668,387137,44.3,May
